;x,y,wid,hgt,defaultcolor(0..15 that will be used as ink in empty chr$)
;6912: color 0 in bmp is for mask
;16c: color 16 in bmp is for mask
;formats:
;[b: b/w tiles: wid, hgt, data]
;B: colour tiles: wid, hgt, data
;s: b/w sprites: wid8, hgt, (antimask, antipixels, ...)
;[S: colour sprites: wid8, hgt, (antimask, antipixels, ...)]
;T: colour tilepic 28xN (size 0xN00 bytes)
;x: 16c sprite: wid/2,hgt,(column:and,or...),(0x4000-((hgt-1)*40))...,prsprqwid

humhor0=x,0,96,24,24
humhor0step=x,24,96,24,24
humhor1=x,48,96,24,24
humhor1step=x,72,96,24,24
humhor2=x,96,96,24,24
humhor2step=x,120,96,24,24
humhor3=x,144,96,24,24
humhor3step=x,168,96,24,24
humhor4=x,0,144,24,24
humhor4step=x,24,144,24,24
humhor5=x,48,144,24,24
humhor5step=x,72,144,24,24
humhor6=x,96,144,24,24
humhor6step=x,120,144,24,24
humhor7=x,144,144,24,24
humhor7step=x,168,144,24,24
humhor0hit=x,0,120,24,24
humhor1hit=x,48,120,24,24
humhor2hit=x,96,120,24,24
humhor3hit=x,144,120,24,24
humhor4hit=x,0,168,24,24
humhor5hit=x,48,168,24,24
humhor6hit=x,96,168,24,24
humhor7hit=x,144,168,24,24
